objectid,element,iiifthumburl
131024,painted surface,"https://api.nga.gov/iiif/da568965-80d7-42a0-883f-3392210f4767/full/!200,200/0/default.jpg"
41633,painted surface,"https://api.nga.gov/iiif/7582d319-a8e3-461e-9386-9bbf0d1deb48/full/!200,200/0/default.jpg"
41634,painted surface,"https://api.nga.gov/iiif/1d4fe135-def0-4a61-89a5-ffa8b9ffa852/full/!200,200/0/default.jpg"
41635,painted surface,"https://api.nga.gov/iiif/c05d6828-ce1c-4333-8ec6-b79ba3472fef/full/!200,200/0/default.jpg"
41636,painted surface,"https://api.nga.gov/iiif/ce6b3e55-a43c-4555-949d-f6bf60600bce/full/!200,200/0/default.jpg"
41702,painted surface,"https://api.nga.gov/iiif/24a4d6e0-31fa-400c-8f8a-44da96af4857/full/!200,200/0/default.jpg"
160,painted surface,"https://api.nga.gov/iiif/f38ca59b-b629-4268-bf64-f5d089c8cf06/full/!200,200/0/default.jpg"
161,painted surface,"https://api.nga.gov/iiif/ba6cc0b7-8f4a-481d-9da5-f6347181902c/full/!200,200/0/default.jpg"
182,painted surface,"https://api.nga.gov/iiif/c9c0f26e-a559-43ab-b517-0384e347ade8/full/!200,200/0/default.jpg"
12118,painted surface,"https://api.nga.gov/iiif/b4ee3d5d-4397-4e7e-b946-20a22c878230/full/!200,200/0/default.jpg"
1,painted surface,"https://api.nga.gov/iiif/7bbcfd01-e774-46e7-96d1-a3b03598cd8a/full/!200,200/0/default.jpg"
282,painted surface,"https://api.nga.gov/iiif/8c36f19a-c3c2-450f-b6b7-5217d1eafc82/full/!200,200/0/default.jpg"
344,painted surface,"https://api.nga.gov/iiif/6114c95d-1c1a-4785-88d1-c138e246adeb/full/!200,200/0/default.jpg"
397,painted surface,"https://api.nga.gov/iiif/60f57752-0e44-477c-94e7-18cbf3a7d80f/full/!200,200/0/default.jpg"
272,painted surface,"https://api.nga.gov/iiif/8c978c3f-88f0-447a-a36c-6848baf9514a/full/!200,200/0/default.jpg"
33,painted surface,"https://api.nga.gov/iiif/db7a87a5-e219-49fc-a3f3-0ef2248d33a3/full/!200,200/0/default.jpg"
0,painted surface,"https://api.nga.gov/iiif/7b170a4c-9d44-475c-b294-cee6f43d88af/full/!200,200/0/default.jpg"
41628,painted surface,"https://api.nga.gov/iiif/b9e37014-2bcf-4786-bdcd-9d5925e0e35f/full/!200,200/0/default.jpg"
434,painted surface,"https://api.nga.gov/iiif/3c95ac77-d680-46b1-bdeb-2add2b0c34e0/full/!200,200/0/default.jpg"
891,painted surface,"https://api.nga.gov/iiif/44354fc3-8c75-4ea8-89d0-c6715dfda5d1/full/!200,200/0/default.jpg"
404,painted surface,"https://api.nga.gov/iiif/da71f518-1b9e-4971-9c98-462b3cdce5f8/full/!200,200/0/default.jpg"
403,painted surface,"https://api.nga.gov/iiif/35bda0d1-9ca6-4fee-a339-8046cc6e198c/full/!200,200/0/default.jpg"
41625,painted surface,"https://api.nga.gov/iiif/b21ae2a3-8f77-47d9-ac02-04fce864c313/full/!200,200/0/default.jpg"
198424,painted surface,"https://api.nga.gov/iiif/4205a539-eadd-4486-89a7-3cff9c1ba428/full/!200,200/0/default.jpg"
195347,painted surface,"https://api.nga.gov/iiif/57e321b7-50f7-476a-a635-70b807e1bf40/full/!200,200/0/default.jpg"
176886,painted surface,"https://api.nga.gov/iiif/f7b63edb-7c72-4afa-832d-1fe89820da2e/full/!200,200/0/default.jpg"
177374,painted surface,"https://api.nga.gov/iiif/72d7d7d4-2e8c-40e4-a381-b33b84942215/full/!200,200/0/default.jpg"
